directory_entry,expected_location_or_floor,selected_map_filename,match_confidence,unresolved_reason,source_map,tower_elevator_map_used
Child & Adolescent Mental Health Unit (8NW),8,child-and-adolescent-mental-health-unit-8-nw.png,high,,WayFinder Updated Maps S26/LVL 8/CHILD AND ADOLESCENT MENTAL HEALTH UNIT 8 NW.png,yes
Medicine Unit (8SW),8,medicine-unit-8w.png,high,,WayFinder Updated Maps S26/LVL 8/MEDICINE UNIT 8W.png,yes
Medicine Unit (8E),8,medicine-unit-8e.png,high,,WayFinder Updated Maps S26/LVL 8/MEDICINE UNIT 8E.png,yes
Medicine Unit (9W),9,medicine-unit-9w.png,high,,WayFinder Updated Maps S26/LVL 9/MEDICINE UNIT 9W.png,yes
Medicine Unit (9E),9,medicine-unit-9e.png,high,,WayFinder Updated Maps S26/LVL 9/MEDICINE UNIT 9E.png,yes
Mental Health & Psychiatric Intensive Care Unit (PICU) (10W),10,picu-10w.png,high,,WayFinder Updated Maps S26/LVL 10/PICU 10W.png,yes
Care Station (10W),10,picu-10w.png,high,,WayFinder Updated Maps S26/LVL 10/PICU 10W.png,yes
Care Station (10E),10,picu-10e.png,high,,WayFinder Updated Maps S26/LVL 10/PICU 10E.png,yes
Lobraico Cardiovascular Rehabilitation,11,cardiovascular-rehab.png,high,,WayFinder Updated Maps S26/LVL 11/CARDIOVASCULAR REHAB.png,yes
Cardiovascular Education Theatre (C11A),11,cardiovascular-education-theatre.png,high,,WayFinder Updated Maps S26/LVL 11/CARDIOVASCULAR EDUCATION THEATRE.png,yes
Finance Procurement,11,finance-procurement.png,high,,WayFinder Updated Maps S26/LVL 11/FINANCE PROCUREMENT.png,yes
Cardiac Program Call Centre,11,cardiag-program-call-centre.png,high,,WayFinder Updated Maps S26/LVL 11/CARDIAG PROGRAM CALL CENTRE.png,yes
Kids Care Specialty Clinics,12,kids-and-teen-care-clinic.png,high,,WayFinder Updated Maps S26/LVL 12/KIDS AND TEEN CARE CLINIC.png,yes
"Patient Safety, Privacy and Risk Management, Professional Practice, Quality Office, Strategy & Transformation, TransCare, Trillium Gift of Life",12,patient-safety-privacy-risk-and-more.png,high,,"WayFinder Updated Maps S26/LVL 12/PATIENT SAFETY, PRIVACY RISK AND MORE.png",yes
"Kids & Teens Care Clinic, Adolescent Medicine Clinic, Bladder and Bowel Clinic, Diabetes Clinic, Endocrine Clinic, Gastroenterology Clinic, Neonatal Follow Up Clinic, Nephrology Clinic, Neurology Clinic, Padiatric Haematology Clinic, RSV Clinic, Sickle Cell Clinic, Scoliosis Clinic",12,kids-and-teen-care-clinic.png,high,,WayFinder Updated Maps S26/LVL 12/KIDS AND TEEN CARE CLINIC.png,yes
Biomedical Engineering,14,biomediccal-engineering.png,high,,WayFinder Updated Maps S26/LVL 14/BIOMEDICCAL ENGINEERING.png,yes
Plant & Facilities Operations,14,plant-and-facilities-operations.png,high,,WayFinder Updated Maps S26/LVL 14/PLANT AND FACILITIES OPERATIONS.png,yes
Environmental Services (EVS),14,evs-environmental-services.png,high,,WayFinder Updated Maps S26/LVL 14/EVS ENVIRONMENTAL SERVICES.png,yes
Support Services/Resource Centre,14,level-14-main-copy.png,high,,WayFinder Updated Maps S26/LVL 14/LEVEL 14 MAIN COPY.png,yes
Digital Services,14,digital-services.png,high,,WayFinder Updated Maps S26/LVL 14/DIGITAL SERVICES.png,yes
Enterprise Analytics,14,enterprise-analytics.png,high,,WayFinder Updated Maps S26/LVL 14/ENTERPRISE ANALYTICS.png,yes
Tower Elevators,1,floor-1-main-copy.png,high,,WayFinder Updated Maps S26/LVL 1 /FLOOR 1 MAIN COPY.png,no
Medical Mall Elevators,1,floor-1-main-copy.png,high,,WayFinder Updated Maps S26/LVL 1 /FLOOR 1 MAIN COPY.png,no
South Elevators,1,floor-1-main-copy.png,high,,WayFinder Updated Maps S26/LVL 1 /FLOOR 1 MAIN COPY.png,no
SHN Foundation Office,2,shn-office.png,high,,WayFinder Updated Maps S26/LVL 2/SHN Office.png,no
Washrooms,2,lvl-2-main-copy.png,high,,WayFinder Updated Maps S26/LVL 2/LVL 2 MAIN COPY.png,no
Neonatal Intensive Care Unit (NICU),2,nicu.png,high,,WayFinder Updated Maps S26/LVL 2/NICU.png,no
